ObjectId,SYSTEM_ID,DATE,PANELS_REPORTING_MICRO_INVERTER,WATTS,WATT_HOUR,KILOWATT_HOUR,COMMUNITY_NAME,FORWARD_SORTATION_AREA
206150,1012997,2021-01-03 09:45:00+00:00,4,0,0.0,0.0,Hammonds Plains,B3Z
206151,1012997,2021-01-03 09:49:59+00:00,25,2,0.0,0.0,Hammonds Plains,B3Z
206152,1012997,2021-01-03 09:55:00+00:00,26,2,0.0,0.0,Hammonds Plains,B3Z
206153,1012997,2021-01-03 09:59:59+00:00,26,1,0.0,0.0,Hammonds Plains,B3Z
206154,1012997,2021-01-03 10:05:00+00:00,26,1,0.0,0.0,Hammonds Plains,B3Z
206155,1012997,2021-01-03 10:09:59+00:00,26,1,0.0,0.0,Hammonds Plains,B3Z
206156,1012997,2021-01-03 10:15:00+00:00,26,1,0.0,0.0,Hammonds Plains,B3Z
206157,1012997,2021-01-03 10:20:00+00:00,26,1,0.0,0.0,Hammonds Plains,B3Z
206158,1012997,2021-01-03 10:25:00+00:00,27,1,0.0,0.0,Hammonds Plains,B3Z
206159,1012997,2021-01-03 10:30:00+00:00,27,1,0.0,0.0,Hammonds Plains,B3Z
206160,1012997,2021-01-03 10:34:59+00:00,28,2,0.0,0.0,Hammonds Plains,B3Z
206161,1012997,2021-01-03 10:40:00+00:00,28,2,0.0,0.0,Hammonds Plains,B3Z
206162,1012997,2021-01-03 10:44:59+00:00,29,2,0.0,0.0,Hammonds Plains,B3Z
206163,1012997,2021-01-03 10:50:00+00:00,30,3,0.0,0.0,Hammonds Plains,B3Z
206164,1012997,2021-01-03 10:54:59+00:00,30,3,0.0,0.0,Hammonds Plains,B3Z
206165,1012997,2021-01-03 11:00:00+00:00,30,4,0.0,0.0,Hammonds Plains,B3Z
206166,1012997,2021-01-03 11:05:00+00:00,32,8,1.0,0.001,Hammonds Plains,B3Z
206167,1012997,2021-01-03 11:10:00+00:00,32,8,1.0,0.001,Hammonds Plains,B3Z
206168,1012997,2021-01-03 11:15:00+00:00,32,9,1.0,0.001,Hammonds Plains,B3Z
206169,1012997,2021-01-03 11:19:59+00:00,34,13,1.0,0.001,Hammonds Plains,B3Z
206170,1012997,2021-01-03 11:25:00+00:00,37,13,1.0,0.001,Hammonds Plains,B3Z
206171,1012997,2021-01-03 11:29:59+00:00,37,13,1.0,0.001,Hammonds Plains,B3Z
206172,1012997,2021-01-03 11:35:00+00:00,34,15,1.0,0.001,Hammonds Plains,B3Z
206173,1012997,2021-01-03 11:39:59+00:00,34,15,1.0,0.001,Hammonds Plains,B3Z
206174,1012997,2021-01-03 11:45:00+00:00,34,13,1.0,0.001,Hammonds Plains,B3Z
206175,1012997,2021-01-03 11:50:00+00:00,34,6,1.0,0.001,Hammonds Plains,B3Z
206176,1012997,2021-01-03 11:55:00+00:00,34,6,1.0,0.001,Hammonds Plains,B3Z
206177,1012997,2021-01-03 12:00:00+00:00,34,6,1.0,0.001,Hammonds Plains,B3Z
206178,1012997,2021-01-03 12:04:59+00:00,34,9,1.0,0.001,Hammonds Plains,B3Z
206179,1012997,2021-01-03 12:10:00+00:00,34,9,1.0,0.001,Hammonds Plains,B3Z
206180,1012997,2021-01-03 12:14:59+00:00,34,8,1.0,0.001,Hammonds Plains,B3Z
206181,1012997,2021-01-03 12:20:00+00:00,33,4,0.0,0.0,Hammonds Plains,B3Z
206182,1012997,2021-01-03 12:24:59+00:00,33,4,0.0,0.0,Hammonds Plains,B3Z
206183,1012997,2021-01-03 12:30:00+00:00,33,5,0.0,0.0,Hammonds Plains,B3Z
206184,1012997,2021-01-03 12:35:00+00:00,31,6,1.0,0.001,Hammonds Plains,B3Z
206185,1012997,2021-01-03 12:40:00+00:00,31,6,1.0,0.001,Hammonds Plains,B3Z
206186,1012997,2021-01-03 12:45:00+00:00,31,6,1.0,0.001,Hammonds Plains,B3Z
206187,1012997,2021-01-03 12:49:59+00:00,31,4,0.0,0.0,Hammonds Plains,B3Z
206188,1012997,2021-01-03 12:55:00+00:00,31,4,0.0,0.0,Hammonds Plains,B3Z
206189,1012997,2021-01-03 12:59:59+00:00,31,4,0.0,0.0,Hammonds Plains,B3Z
206190,1012997,2021-01-03 13:05:00+00:00,31,5,0.0,0.0,Hammonds Plains,B3Z
206191,1012997,2021-01-03 13:09:59+00:00,31,5,0.0,0.0,Hammonds Plains,B3Z
206192,1012997,2021-01-03 13:15:00+00:00,31,5,0.0,0.0,Hammonds Plains,B3Z
206193,1012997,2021-01-03 13:20:00+00:00,30,2,0.0,0.0,Hammonds Plains,B3Z
206194,1012997,2021-01-03 13:25:00+00:00,30,2,0.0,0.0,Hammonds Plains,B3Z
206195,1012997,2021-01-03 13:30:00+00:00,30,2,0.0,0.0,Hammonds Plains,B3Z
206196,1012997,2021-01-03 13:34:59+00:00,27,4,0.0,0.0,Hammonds Plains,B3Z
206197,1012997,2021-01-03 13:40:00+00:00,27,4,0.0,0.0,Hammonds Plains,B3Z
206198,1012997,2021-01-03 13:44:59+00:00,27,3,0.0,0.0,Hammonds Plains,B3Z
206199,1012997,2021-01-03 13:50:00+00:00,15,1,0.0,0.0,Hammonds Plains,B3Z
206200,1012997,2021-01-03 13:54:59+00:00,15,1,0.0,0.0,Hammonds Plains,B3Z
206201,1012997,2021-01-03 14:00:00+00:00,15,1,0.0,0.0,Hammonds Plains,B3Z
206202,1012997,2021-01-03 14:05:00+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206203,1012997,2021-01-03 14:10:00+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206204,1012997,2021-01-03 14:15:00+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206205,1012997,2021-01-03 14:19:59+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206206,1012997,2021-01-03 14:25:00+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206207,1012997,2021-01-03 14:29:59+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206208,1012997,2021-01-03 14:35:00+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206209,1012997,2021-01-03 14:39:59+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206210,1012997,2021-01-03 14:45:00+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206211,1012997,2021-01-03 14:50:00+00:00,15,0,0.0,0.0,Hammonds Plains,B3Z
206212,1012997,2021-01-03 14:55:00+00:00,15,2,0.0,0.0,Hammonds Plains,B3Z
206213,1012997,2021-01-03 15:00:00+00:00,15,2,0.0,0.0,Hammonds Plains,B3Z
206214,1012997,2021-01-03 15:04:59+00:00,9,0,0.0,0.0,Hammonds Plains,B3Z
206215,1012997,2021-01-03 15:10:00+00:00,4,0,0.0,0.0,Hammonds Plains,B3Z
206216,1012997,2021-01-03 15:14:59+00:00,4,0,0.0,0.0,Hammonds Plains,B3Z
206217,1012997,2021-01-03 15:20:00+00:00,4,0,0.0,0.0,Hammonds Plains,B3Z
206218,1012997,2021-01-03 15:24:59+00:00,4,0,0.0,0.0,Hammonds Plains,B3Z
206219,1012997,2021-01-03 15:30:00+00:00,4,0,0.0,0.0,Hammonds Plains,B3Z
206220,1012997,2021-01-03 15:35:00+00:00,4,0,0.0,0.0,Hammonds Plains,B3Z
